1018,1072.999745,192.168.100.1,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=105/26880,ttl=126,(reply in 1019)
1019,1072.999808,192.168.200.1,192.168.100.1,ICMP,1042,Echo (ping) reply,id=0x0001,seq=105/26880,ttl=128,(request in 1018)
1020,1074.015296,192.168.100.1,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=106/27136,ttl=126,(reply in 1021)
1021,1074.015346,192.168.200.1,192.168.100.1,ICMP,1042,Echo (ping) reply,id=0x0001,seq=106/27136,ttl=128,(request in 1020)
1025,1075.031059,192.168.100.1,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=107/27392,ttl=126,(reply in 1026)
1026,1075.031112,192.168.200.1,192.168.100.1,ICMP,1042,Echo (ping) reply,id=0x0001,seq=107/27392,ttl=128,(request in 1025)
1028,1076.046628,192.168.100.1,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=108/27648,ttl=126,(reply in 1029)
1029,1076.046679,192.168.200.1,192.168.100.1,ICMP,1042,Echo (ping) reply,id=0x0001,seq=108/27648,ttl=128,(request in 1028)
1031,1077.062222,192.168.100.1,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=109/27904,ttl=126,(reply in 1032)
1032,1077.062284,192.168.200.1,192.168.100.1,ICMP,1042,Echo (ping) reply,id=0x0001,seq=109/27904,ttl=128,(request in 1031)
1033,1078.077873,192.168.100.1,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=110/28160,ttl=126,(reply in 1034)
1034,1078.077922,192.168.200.1,192.168.100.1,ICMP,1042,Echo (ping) reply,id=0x0001,seq=110/28160,ttl=128,(request in 1033)
1053,1099.211155,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=48/12288,ttl=128,(reply in 1054)
1054,1099.213900,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=48/12288,ttl=126,(request in 1053)
1056,1100.227627,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=49/12544,ttl=128,(reply in 1057)
1057,1100.230348,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=49/12544,ttl=126,(request in 1056)
1058,1101.241916,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=50/12800,ttl=128,(reply in 1059)
1059,1101.244632,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=50/12800,ttl=126,(request in 1058)
1062,1102.245528,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=51/13056,ttl=128,(reply in 1063)
1063,1102.248279,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=51/13056,ttl=126,(request in 1062)
1064,1103.261128,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=52/13312,ttl=128,(reply in 1065)
1065,1103.263868,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=52/13312,ttl=126,(request in 1064)
1069,1104.264775,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=53/13568,ttl=128,(reply in 1070)
1070,1104.267417,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=53/13568,ttl=126,(request in 1069)
1071,1105.278759,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=54/13824,ttl=128,(reply in 1072)
1072,1105.281472,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=54/13824,ttl=126,(request in 1071)
1074,1106.283380,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=55/14080,ttl=128,(reply in 1075)
1075,1106.286093,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=55/14080,ttl=126,(request in 1074)
1076,1107.286444,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=56/14336,ttl=128,(reply in 1077)
1077,1107.289299,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=56/14336,ttl=126,(request in 1076)
1080,1108.299552,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=57/14592,ttl=128,(reply in 1081)
1081,1108.302245,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=57/14592,ttl=126,(request in 1080)
1082,1109.308732,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=58/14848,ttl=128,(reply in 1083)
1083,1109.311432,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=58/14848,ttl=126,(request in 1082)
1085,1110.312298,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=59/15104,ttl=128,(reply in 1086)
1086,1110.315018,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=59/15104,ttl=126,(request in 1085)
1088,1111.321941,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=60/15360,ttl=128,(reply in 1089)
1089,1111.324690,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=60/15360,ttl=126,(request in 1088)
1092,1112.339215,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=61/15616,ttl=128,(reply in 1093)
1093,1112.341845,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=61/15616,ttl=126,(request in 1092)
1094,1113.352331,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=62/15872,ttl=128,(reply in 1095)
1095,1113.355068,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=62/15872,ttl=126,(request in 1094)
1099,1114.369456,192.168.200.1,192.168.100.2,ICMP,342,Echo (ping) request,id=0x0001,seq=63/16128,ttl=128,(reply in 1100)
1100,1114.372208,192.168.100.2,192.168.200.1,ICMP,342,Echo (ping) reply,id=0x0001,seq=63/16128,ttl=126,(request in 1099)
1102,1116.012231,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=44/11264,ttl=128,(reply in 1103)
1103,1116.012300,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=44/11264,ttl=128,(request in 1102)
1105,1117.024723,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=45/11520,ttl=128,(reply in 1106)
1106,1117.024772,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=45/11520,ttl=128,(request in 1105)
1107,1118.040621,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=46/11776,ttl=128,(reply in 1108)
1108,1118.040685,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=46/11776,ttl=128,(request in 1107)
1112,1119.050361,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=47/12032,ttl=128,(reply in 1113)
1113,1119.050420,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=47/12032,ttl=128,(request in 1112)
1114,1120.068296,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=48/12288,ttl=128,(reply in 1115)
1115,1120.068361,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=48/12288,ttl=128,(request in 1114)
1121,1121.082118,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=49/12544,ttl=128,(reply in 1122)
1122,1121.082179,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=49/12544,ttl=128,(request in 1121)
1126,1122.098900,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=50/12800,ttl=128,(reply in 1127)
1127,1122.098964,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=50/12800,ttl=128,(request in 1126)
1129,1123.110069,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=51/13056,ttl=128,(reply in 1130)
1130,1123.110130,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=51/13056,ttl=128,(request in 1129)
1132,1124.127595,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=52/13312,ttl=128,(reply in 1133)
1133,1124.127656,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=52/13312,ttl=128,(request in 1132)
1134,1125.137191,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=53/13568,ttl=128,(reply in 1135)
1135,1125.137239,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=53/13568,ttl=128,(request in 1134)
1138,1126.143715,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=54/13824,ttl=128,(reply in 1139)
1139,1126.143764,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=54/13824,ttl=128,(request in 1138)
1140,1127.156436,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=55/14080,ttl=128,(reply in 1141)
1141,1127.156494,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=55/14080,ttl=128,(request in 1140)
1145,1128.167271,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=56/14336,ttl=128,(reply in 1146)
1146,1128.167321,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=56/14336,ttl=128,(request in 1145)
1148,1129.172045,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=57/14592,ttl=128,(reply in 1149)
1149,1129.172109,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=57/14592,ttl=128,(request in 1148)
1151,1130.174286,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=58/14848,ttl=128,(reply in 1152)
1152,1130.174338,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=58/14848,ttl=128,(request in 1151)
1153,1131.186976,192.168.200.2,192.168.200.1,ICMP,1042,Echo (ping) request,id=0x0001,seq=59/15104,ttl=128,(reply in 1154)
1154,1131.187035,192.168.200.1,192.168.200.2,ICMP,1042,Echo (ping) reply,id=0x0001,seq=59/15104,ttl=128,(request in 1153)
